"","tree_id","tree_dbh","curb_loc","health","sidewalk","root_stone","root_grate","trunk_wire","brch_light"
"424",362793,29,"0","1","0","0","0","0","0"
"425",371803,16,"1","1","1","1","0","0","0"
"426",362795,27,"0","1","0","0","0","0","0"
"427",363667,6,"1","1","1","0","0","0","0"
"428",371801,21,"1","1","1","0","0","0","0"
"429",371656,4,"1","1","0","0","0","0","0"
"430",371592,4,"1","1","0","0","0","0","0"
"431",371588,6,"1","1","0","0","0","0","0"
"432",363664,6,"1","1","1","0","0","0","0"
"433",371589,6,"1","1","0","0","0","0","0"
"434",364157,4,"1","1","0","0","0","0","0"
"435",363836,34,"1","1","1","1","0","0","0"
"436",364127,14,"1","1","1","0","0","0","0"
"437",371572,10,"1","1","1","0","0","0","0"
"438",371591,6,"1","1","1","0","0","0","0"
"439",371590,8,"0","1","0","0","0","0","0"
"440",371587,40,"1","1","1","0","0","0","0"
"441",371804,14,"1","1","1","1","0","0","0"
"442",362294,17,"0","1","0","0","0","0","0"
"443",371578,1,"1","1","0","0","0","0","0"
"444",361724,3,"1","1","0","0","0","0","0"
"445",363666,6,"1","1","1","0","0","0","0"
"446",371586,32,"1","1","1","1","0","0","0"
"447",371893,10,"1","1","0","0","0","0","0"
"448",371892,11,"1","1","1","1","0","0","0"
"449",362299,4,"0","1","0","0","0","0","0"
"450",361162,5,"1","1","0","0","0","0","0"
"451",371885,16,"1","1","1","0","0","0","0"
"452",422575,12,"1","1","0","0","0","0","0"
"453",422573,13,"1","1","0","0","0","0","0"
"454",422565,12,"1","1","0","0","0","0","0"
"455",422566,13,"1","1","0","0","0","0","0"
"456",422572,6,"1","0","0","0","0","0","0"
"457",422574,5,"1","1","0","0","0","0","0"
"458",422564,30,"1","1","1","0","0","0","0"
"459",422567,11,"1","1","0","0","0","0","0"
"460",422569,12,"1","1","0","0","0","0","0"
"461",422571,4,"1","0","0","0","0","0","0"
"462",371894,15,"1","1","1","0","0","0","0"
"463",422568,14,"0","0","0","0","0","0","0"
"464",422570,4,"1","0","0","0","0","0","0"
